Technology node;Transistor type;Size;Associativity;Access mode;Access time;Cycle time;Tag area;Data area;Read energy per access;Write energy per access
32 nm;itrs-hp;1024 kb;4;sequential;1.37918 ns;5.45579 ns;0.100337 mm2;1.75405 mm2;0.162126 nJ;
32 nm;itrs-hp;1024 kb;8;sequential;1.37693 ns;5.45579 ns;0.100691 mm2;1.75405 mm2;0.162303 nJ;
32 nm;itrs-hp;256 kb;4;sequential;0.770602 ns;1.63109 ns;0.0265315 mm2;0.454966 mm2;0.0810749 nJ;
32 nm;itrs-hp;256 kb;8;sequential;0.768129 ns;1.63109 ns;0.0265573 mm2;0.454966 mm2;0.0812699 nJ;
32 nm;itrs-hp;32 kb;2;fast;0.25516 ns;0.552286 ns;0.00387902 mm2;0.0692878 mm2;0.0337891 nJ;
32 nm;itrs-hp;32 kb;4;fast;0.354736 ns;1.56919 ns;0.00391518 mm2;0.118738 mm2;0.0547452 nJ;
32 nm;itrs-hp;64 kb;4;fast;0.424773 ns;1.56956 ns;0.00752221 mm2;0.164338 mm2;0.0671866 nJ;
32 nm;itrs-hp;64 kb;4;sequential;0.528996 ns;1.57265 ns;0.00752221 mm2;0.118527 mm2;0.0313165 nJ;
32 nm;itrs-hp;64 kb;8;fast;0.661923 ns;5.3567 ns;0.00760637 mm2;0.348504 mm2;0.109182 nJ;
32 nm;itrs-hp;64 kb;8;sequential;0.527657 ns;1.57265 ns;0.00760637 mm2;0.118527 mm2;0.0315442 nJ;
32 nm;itrs-hp;8192 kb;4;sequential;2.66248 ns;5.45579 ns;0.673039 mm2;14.1777 mm2;0.708475 nJ;
32 nm;itrs-hp;8192 kb;8;sequential;2.65336 ns;5.45579 ns;0.66725 mm2;14.1777 mm2;0.708549 nJ;
32 nm;itrs-lop;1024 kb;4;sequential;2.19008 ns;5.50213 ns;0.122966 mm2;2.0839 mm2;0.0935229 nJ;
32 nm;itrs-lop;1024 kb;8;sequential;2.18537 ns;5.50213 ns;0.122675 mm2;2.0839 mm2;0.0935412 nJ;
32 nm;itrs-lop;256 kb;4;sequential;1.38765 ns;1.83302 ns;0.0303585 mm2;0.561089 mm2;0.0480929 nJ;
32 nm;itrs-lop;256 kb;8;sequential;1.38261 ns;1.83302 ns;0.0302945 mm2;0.561089 mm2;0.0481633 nJ;
32 nm;itrs-lop;32 kb;2;fast;0.518344 ns;1.74296 ns;0.00544374 mm2;0.0920457 mm2;0.0164819 nJ;
32 nm;itrs-lop;32 kb;4;fast;0.568907 ns;1.74296 ns;0.00536995 mm2;0.121449 mm2;0.0237882 nJ;
32 nm;itrs-lop;64 kb;4;fast;0.627493 ns;1.8249 ns;0.0088178 mm2;0.165201 mm2;0.0387738 nJ;
32 nm;itrs-lop;64 kb;4;sequential;1.03679 ns;1.83302 ns;0.00879892 mm2;0.11873 mm2;0.0180199 nJ;
32 nm;itrs-lop;64 kb;8;fast;0.985202 ns;5.49218 ns;0.00893447 mm2;0.35023 mm2;0.0637916 nJ;
32 nm;itrs-lop;64 kb;8;sequential;1.03412 ns;1.83302 ns;0.00888983 mm2;0.11873 mm2;0.01811 nJ;
32 nm;itrs-lop;8192 kb;4;sequential;4.64493 ns;19.4536 ns;0.770759 mm2;13.5771 mm2;0.30977 nJ;
32 nm;itrs-lop;8192 kb;8;sequential;4.62484 ns;19.4536 ns;0.757775 mm2;13.5771 mm2;0.309798 nJ;
32 nm;itrs-lstp;1024 kb;4;sequential;3.70069 ns;6.87203 ns;0.129215 mm2;1.75536 mm2;0.251747 nJ;
32 nm;itrs-lstp;1024 kb;8;sequential;3.69434 ns;6.87203 ns;0.122528 mm2;1.75536 mm2;0.251534 nJ;
32 nm;itrs-lstp;256 kb;4;sequential;2.82035 ns;6.6433 ns;0.037435 mm2;0.499321 mm2;0.098497 nJ;
32 nm;itrs-lstp;256 kb;8;sequential;2.81795 ns;6.6433 ns;0.0398469 mm2;0.499321 mm2;0.0997363 nJ;
32 nm;itrs-lstp;32 kb;2;fast;1.01685 ns;2.45368 ns;0.00388963 mm2;0.0907348 mm2;0.0390623 nJ;
32 nm;itrs-lstp;32 kb;4;fast;1.0022 ns;2.44281 ns;0.00393758 mm2;0.121342 mm2;0.066276 nJ;
32 nm;itrs-lstp;64 kb;4;fast;1.15507 ns;2.55593 ns;0.0109653 mm2;0.16498 mm2;0.105797 nJ;
32 nm;itrs-lstp;64 kb;4;sequential;2.03192 ns;2.56683 ns;0.0109308 mm2;0.118664 mm2;0.0421468 nJ;
32 nm;itrs-lstp;64 kb;8;fast;1.56721 ns;6.63069 ns;0.0110477 mm2;0.349805 mm2;0.183663 nJ;
32 nm;itrs-lstp;64 kb;8;sequential;2.02575 ns;2.56683 ns;0.0109665 mm2;0.118664 mm2;0.0423731 nJ;
32 nm;itrs-lstp;8192 kb;4;sequential;7.00023 ns;21.2937 ns;0.770596 mm2;13.5752 mm2;0.843413 nJ;
32 nm;itrs-lstp;8192 kb;8;sequential;6.95634 ns;21.2937 ns;0.757515 mm2;13.5752 mm2;0.843422 nJ;
