Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 1048576, 1, 4, 512, 0.950169, 1.05615, N/A, 0.169347, 0.176728, 373.642, 1.17886, 2, 16, 4, 8, 1, 1, 62.2767, 4, 8, 4, 1, 8, 1, 74.2896, 
22, 1048576, 1, 8, 512, 0.948857, 1.05615, N/A, 0.169449, 0.181068, 374.848, 1.17842, 2, 16, 4, 8, 1, 1, 62.2767, 4, 8, 2, 1, 4, 1, 74, 
22, 262144, 1, 4, 512, 0.574365, 0.391764, N/A, 0.0778311, 0.0893051, 106.012, 0.327263, 2, 8, 2, 4, 1, 1, 54.7387, 2, 4, 2, 1, 4, 1, 74.456, 
22, 262144, 1, 8, 512, 0.573787, 0.391764, N/A, 0.0779265, 0.0915231, 106.63, 0.327182, 2, 8, 2, 4, 1, 1, 54.7387, 2, 4, 1, 1, 2, 1, 73.3647, 
22, 32768, 1, 2, 512, 0.186281, 0.345374, N/A, 0.0433892, 0.0561253, 12.2251, 0.0407434, 2, 2, 1, 1, 1, 2, 52.7836, 2, 2, 2, 1, 4, 1, 68.9981, 
22, 32768, 1, 4, 512, 0.299075, 1.00676, N/A, 0.154711, 0.184973, 19.8856, 0.0722182, 2, 1, 1, 1, 1, 1, 27.7546, 2, 2, 1, 1, 2, 1, 68.0468, 
22, 65536, 1, 4, 512, 0.28803, 0.345374, N/A, 0.232389, 0.262269, 51.6342, 0.183464, 4, 2, 1, 1, 1, 1, 23.2968, 2, 2, 2, 1, 4, 1, 70.8585, 
22, 65536, 1, 4, 512, 0.349289, 0.391764, N/A, 0.0279968, 0.0384031, 20.2322, 0.0654967, 2, 2, 2, 4, 1, 1, 73.9597, 2, 2, 2, 1, 4, 1, 70.8585, 
22, 65536, 1, 8, 512, 0.429569, 0.977312, N/A, 0.882066, 0.912114, 125.077, 0.494397, 4, 2, 1, 1, 1, 1, 8.08134, 2, 2, 1, 1, 2, 1, 68.5592, 
22, 65536, 1, 8, 512, 0.348486, 0.391764, N/A, 0.0281151, 0.0397118, 20.5654, 0.0654792, 2, 2, 2, 4, 1, 1, 73.9597, 2, 2, 1, 1, 2, 1, 68.5592, 
22, 8388608, 1, 4, 512, 1.9781, 1.05615, N/A, 0.546563, 0.561333, 2597.87, 8.15158, 8, 32, 16, 16, 1, 1, 71.5589, 16, 32, 16, 1, 16, 1, 68.4532, 
22, 8388608, 1, 8, 512, 1.97794, 1.05615, N/A, 0.550472, 0.573973, 2600.17, 8.15021, 8, 32, 16, 16, 1, 1, 71.5589, 16, 32, 8, 1, 16, 1, 68.5537, 
