Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 1048576, 1, 4, 512, 1.83939, 1.55735, N/A, 0.115444, 0.117072, 547.897, 1.39399, 2, 16, 4, 8, 1, 1, 62.5302, 8, 8, 8, 1, 8, 1, 68.8947, 
22, 1048576, 1, 8, 512, 1.83932, 1.55735, N/A, 0.116943, 0.121192, 548.687, 1.39372, 2, 16, 4, 8, 1, 1, 62.5302, 8, 8, 4, 1, 8, 1, 68.9942, 
22, 262144, 1, 4, 512, 1.28549, 1.55735, N/A, 0.0491, 0.0489961, 124.145, 0.248435, 2, 4, 4, 8, 1, 1, 67.6127, 2, 16, 2, 1, 4, 1, 58.1792, 
22, 262144, 1, 8, 512, 1.26477, 1.55735, N/A, 0.0500511, 0.0514108, 122.734, 0.274619, 2, 4, 4, 8, 1, 1, 67.6127, 4, 4, 2, 1, 4, 1, 69.0099, 
22, 32768, 1, 2, 512, 0.446625, 0.619259, N/A, 0.0290399, 0.0355135, 17.0181, 0.040458, 2, 2, 1, 1, 1, 2, 53.4029, 2, 4, 2, 1, 4, 1, 58.6032, 
22, 32768, 1, 4, 512, 0.567028, 1.34135, N/A, 0.104588, 0.110568, 27.2259, 0.0724727, 2, 2, 1, 1, 1, 2, 27.728, 2, 4, 1, 1, 2, 1, 57.4124, 
22, 65536, 1, 4, 512, 0.604504, 1.41057, N/A, 0.10738, 0.120275, 40.8869, 0.100771, 2, 2, 1, 1, 1, 2, 42.7539, 2, 8, 2, 1, 4, 1, 47.0917, 
22, 65536, 1, 4, 512, 0.923043, 0.76592, N/A, 0.0189745, 0.0235082, 29.5414, 0.0657515, 2, 2, 2, 4, 1, 1, 74.2614, 2, 8, 2, 1, 4, 1, 47.2407, 
22, 65536, 1, 8, 512, 0.787259, 1.34135, N/A, 0.595324, 0.61092, 180.755, 0.48887, 4, 2, 1, 1, 1, 1, 8.1956, 2, 8, 1, 1, 2, 1, 43.561, 
22, 65536, 1, 8, 512, 0.92199, 0.76592, N/A, 0.0190435, 0.0237595, 31.3508, 0.0656865, 2, 2, 2, 4, 1, 1, 74.2614, 2, 8, 1, 1, 2, 1, 43.8838, 
22, 8388608, 1, 4, 512, 3.48296, 1.55735, N/A, 0.371883, 0.37548, 3687.46, 8.13913, 8, 32, 16, 16, 1, 1, 71.7114, 16, 64, 16, 1, 16, 1, 60.3094, 
22, 8388608, 1, 8, 512, 3.4827, 1.55735, N/A, 0.373861, 0.379463, 3693.9, 8.13759, 8, 32, 16, 16, 1, 1, 71.7114, 16, 64, 8, 1, 16, 1, 60.4044, 
