Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 1048576, 1, 4, 512, 3.90203, 2.79805, N/A, 0.543441, 0.572946, 0.502055, 2.94991, 2, 16, 4, 8, 1, 1, 62.4607, 8, 8, 8, 1, 16, 1, 68.6862, 
32, 1048576, 1, 8, 512, 3.88722, 2.79805, N/A, 0.543954, 0.583897, 0.503318, 2.9523, 2, 16, 4, 8, 1, 1, 62.4607, 8, 8, 4, 1, 8, 1, 68.7127, 
32, 262144, 1, 4, 512, 2.86393, 2.79805, N/A, 0.218262, 0.237715, 0.107748, 0.58442, 2, 4, 4, 8, 1, 1, 67.5372, 4, 8, 4, 1, 8, 1, 59.4458, 
32, 262144, 1, 8, 512, 2.85301, 2.79805, N/A, 0.218608, 0.240673, 0.109088, 0.58387, 2, 4, 4, 8, 1, 1, 67.5372, 4, 8, 2, 1, 4, 1, 58.8188, 
32, 32768, 1, 2, 512, 1.05772, 1.30471, N/A, 0.132053, 0.166116, 0.0135617, 0.0967302, 2, 2, 1, 1, 1, 2, 53.3004, 4, 2, 4, 1, 8, 1, 56.8971, 
32, 32768, 1, 4, 512, 1.19581, 2.44571, N/A, 0.48657, 0.519304, 0.021668, 0.164409, 2, 2, 1, 1, 1, 2, 27.662, 4, 2, 2, 1, 4, 1, 56.7556, 
32, 65536, 1, 4, 512, 1.34605, 2.55798, N/A, 0.492251, 0.559931, 0.0322718, 0.213878, 2, 2, 1, 1, 1, 2, 42.6746, 4, 4, 2, 1, 1, 2, 54.2404, 
32, 65536, 1, 4, 512, 2.57844, 1.57129, N/A, 0.0474004, 0.120308, 0.0244269, 0.16103, 2, 2, 1, 2, 1, 1, 78.7097, 4, 4, 2, 1, 1, 2, 54.502, 
32, 65536, 1, 8, 512, 1.6661, 2.44571, N/A, 2.83632, 2.91893, 0.166257, 1.03384, 4, 2, 1, 1, 1, 1, 8.18685, 4, 2, 1, 1, 2, 1, 66.1766, 
32, 65536, 1, 8, 512, 2.53634, 1.57129, N/A, 0.0494936, 0.130757, 0.0240245, 0.159362, 2, 2, 1, 2, 1, 1, 78.7097, 4, 2, 1, 1, 2, 1, 66.6783, 
32, 8388608, 1, 4, 512, 7.37395, 7.33644, N/A, 1.5398, 1.54708, 2.77064, 16.301, 4, 16, 16, 16, 1, 1, 76.9508, 32, 32, 16, 1, 8, 1, 65.2198, 
32, 8388608, 1, 8, 512, 7.37331, 7.33644, N/A, 1.54545, 1.57743, 2.77616, 16.2958, 4, 16, 16, 16, 1, 1, 76.9508, 32, 32, 8, 1, 8, 1, 65.3945, 
