Technology node;Transistor type;Size;Associativity;Access mode;Access time;Cycle time;Tag area;Data area;Read energy per access;Write energy per access
22 nm;itrs-hp;1024 kb;4;sequential;0.950169 ns;1.05615 ns;0.0498701 mm2;0.951837 mm2;0.169347 nJ;0.176728 nJ
22 nm;itrs-hp;1024 kb;8;sequential;0.948857 ns;1.05615 ns;0.0500652 mm2;0.951837 mm2;0.169449 nJ;0.181068 nJ
22 nm;itrs-hp;256 kb;4;sequential;0.574365 ns;0.391764 ns;0.0124397 mm2;0.270728 mm2;0.0778311 nJ;0.0893051 nJ
22 nm;itrs-hp;256 kb;8;sequential;0.573787 ns;0.391764 ns;0.0126247 mm2;0.270728 mm2;0.0779265 nJ;0.0915231 nJ
22 nm;itrs-hp;32 kb;2;fast;0.186281 ns;0.345374 ns;0.0018877 mm2;0.0350945 mm2;0.0433892 nJ;0.0561253 nJ
22 nm;itrs-hp;32 kb;4;fast;0.299075 ns;1.00676 ns;0.00191409 mm2;0.0667426 mm2;0.154711 nJ;0.184973 nJ
22 nm;itrs-hp;64 kb;4;fast;0.28803 ns;0.345374 ns;0.00367628 mm2;0.159027 mm2;0.232389 nJ;0.262269 nJ
22 nm;itrs-hp;64 kb;4;sequential;0.349289 ns;0.391764 ns;0.00367628 mm2;0.0500925 mm2;0.0279968 nJ;0.0384031 nJ
22 nm;itrs-hp;64 kb;8;fast;0.429569 ns;0.977312 ns;0.00379957 mm2;0.458442 mm2;0.882066 nJ;0.912114 nJ
22 nm;itrs-hp;64 kb;8;sequential;0.348486 ns;0.391764 ns;0.00379957 mm2;0.0500925 mm2;0.0281151 nJ;0.0397118 nJ
22 nm;itrs-hp;8192 kb;4;sequential;1.9781 ns;1.05615 ns;0.378855 mm2;6.62696 mm2;0.546563 nJ;0.561333 nJ
22 nm;itrs-hp;8192 kb;8;sequential;1.97794 ns;1.05615 ns;0.378299 mm2;6.62696 mm2;0.550472 nJ;0.573973 nJ
22 nm;itrs-lop;1024 kb;4;sequential;1.83939 ns;1.55735 ns;0.0537753 mm2;0.947979 mm2;0.115444 nJ;0.117072 nJ
22 nm;itrs-lop;1024 kb;8;sequential;1.83932 ns;1.55735 ns;0.0536977 mm2;0.947979 mm2;0.116943 nJ;0.121192 nJ
22 nm;itrs-lop;256 kb;4;sequential;1.28549 ns;1.55735 ns;0.0159199 mm2;0.219179 mm2;0.0491 nJ;0.0489961 nJ
22 nm;itrs-lop;256 kb;8;sequential;1.26477 ns;1.55735 ns;0.0134214 mm2;0.219179 mm2;0.0500511 nJ;0.0514108 nJ
22 nm;itrs-lop;32 kb;2;fast;0.446625 ns;0.619259 ns;0.00222254 mm2;0.0346875 mm2;0.0290399 nJ;0.0355135 nJ
22 nm;itrs-lop;32 kb;4;fast;0.567028 ns;1.34135 ns;0.00226864 mm2;0.0668067 mm2;0.104588 nJ;0.110568 nJ
22 nm;itrs-lop;64 kb;4;fast;0.604504 ns;1.41057 ns;0.00553167 mm2;0.0866547 mm2;0.10738 nJ;0.120275 nJ
22 nm;itrs-lop;64 kb;4;sequential;0.923043 ns;0.76592 ns;0.00551423 mm2;0.049889 mm2;0.0189745 nJ;0.0235082 nJ
22 nm;itrs-lop;64 kb;8;fast;0.787259 ns;1.34135 ns;0.00598002 mm2;0.452051 mm2;0.595324 nJ;0.61092 nJ
