Technology node (nm);Transistor type;Size (KiB);Associativity;Access mode;Access time (ns);Cycle time (ns);Tag area (mm2);Data area (mm2);Read energy per access (nJ);Write energy per access (nJ); Total Leakage Power (mW)
32;itrs-hp;1024;4;sequential;1.37918;5.45579;0.100337;1.75405;0.162126;;721.808
32;itrs-hp;1024;8;sequential;1.37693;5.45579;0.100691;1.75405;0.162303;;724.178
32;itrs-hp;256;4;sequential;0.770602;1.63109;0.0265315;0.454966;0.0810749;;189.712
32;itrs-hp;256;8;sequential;0.768129;1.63109;0.0265573;0.454966;0.0812699;;190.739
32;itrs-hp;32;2;fast;0.25516;0.552286;0.00387902;0.0692878;0.0337891;;23.8765
32;itrs-hp;32;4;fast;0.354736;1.56919;0.00391518;0.118738;0.0547452;;24.5387
32;itrs-hp;64;4;fast;0.424773;1.56956;0.00752221;0.164338;0.0671866;;45.7147
32;itrs-hp;64;4;sequential;0.528996;1.57265;0.00752221;0.118527;0.0313165;;43.3617
32;itrs-hp;64;8;fast;0.661923;5.3567;0.00760637;0.348504;0.109182;;48.1588
32;itrs-hp;64;8;sequential;0.527657;1.57265;0.00760637;0.118527;0.0315442;;43.9
32;itrs-hp;8192;4;sequential;2.66248;5.45579;0.673039;14.1777;0.708475;;5621.74
32;itrs-hp;8192;8;sequential;2.65336;5.45579;0.66725;14.1777;0.708549;;5625.48
32;itrs-lop;1024;4;sequential;2.19008;5.50213;0.122966;2.0839;0.0935229;;182.378
32;itrs-lop;1024;8;sequential;2.18537;5.50213;0.122675;2.0839;0.0935412;;183.924
32;itrs-lop;256;4;sequential;1.38765;1.83302;0.0303585;0.561089;0.0480929;;53.365
32;itrs-lop;256;8;sequential;1.38261;1.83302;0.0302945;0.561089;0.0481633;;53.7553
32;itrs-lop;32;2;fast;0.518344;1.74296;0.00544374;0.0920457;0.0164819;;4.74731
32;itrs-lop;32;4;fast;0.568907;1.74296;0.00536995;0.121449;0.0237882;;4.96976
32;itrs-lop;64;4;fast;0.627493;1.8249;0.0088178;0.165201;0.0387738;;9.65743
32;itrs-lop;64;4;sequential;1.03679;1.83302;0.00879892;0.11873;0.0180199;;9.10202
32;itrs-lop;64;8;fast;0.985202;5.49218;0.00893447;0.35023;0.0637916;;10.3544
32;itrs-lop;64;8;sequential;1.03412;1.83302;0.00888983;0.11873;0.01811;;9.30623
32;itrs-lop;8192;4;sequential;4.64493;19.4536;0.770759;13.5771;0.30977;;1169.88
32;itrs-lop;8192;8;sequential;4.62484;19.4536;0.757775;13.5771;0.309798;;1170.85
32;itrs-lstp;1024;4;sequential;3.70069;6.87203;0.129215;1.75536;0.251747;;0.402918
32;itrs-lstp;1024;8;sequential;3.69434;6.87203;0.122528;1.75536;0.251534;;0.406707
32;itrs-lstp;256;4;sequential;2.82035;6.6433;0.037435;0.499321;0.098497;;0.106782
32;itrs-lstp;256;8;sequential;2.81795;6.6433;0.0398469;0.499321;0.0997363;;0.108848
32;itrs-lstp;32;2;fast;1.01685;2.45368;0.00388963;0.0907348;0.0390623;;0.0111638
32;itrs-lstp;32;4;fast;1.0022;2.44281;0.00393758;0.121342;0.066276;;0.0117706
32;itrs-lstp;64;4;fast;1.15507;2.55593;0.0109653;0.16498;0.105797;;0.0240371
32;itrs-lstp;64;4;sequential;2.03192;2.56683;0.0109308;0.118664;0.0421468;;0.0226676
32;itrs-lstp;64;8;fast;1.56721;6.63069;0.0110477;0.349805;0.183663;;0.0261985
32;itrs-lstp;64;8;sequential;2.02575;2.56683;0.0109665;0.118664;0.0423731;;0.0235976
32;itrs-lstp;8192;4;sequential;7.00023;21.2937;0.770596;13.5752;0.843413;;2.95058
32;itrs-lstp;8192;8;sequential;6.95634;21.2937;0.757515;13.5752;0.843422;;2.95288
