Technology node (nm);Transistor type;Size (KiB);Associativity;Access mode;Access time (ns);Cycle time (ns);Tag area (mm2);Data area (mm2);Read energy per access (nJ);Write energy per access (nJ); Total Leakage Power (mW)
22;itrs-hp;1024;4;sequential;0.950169;1.05615;0.0498701;0.951837;0.169347;0.176728;372.529
22;itrs-hp;1024;8;sequential;0.948857;1.05615;0.0500652;0.951837;0.169449;0.181068;373.731
22;itrs-hp;256;4;sequential;0.574365;0.391764;0.0124397;0.270728;0.0778311;0.0893051;105.649
22;itrs-hp;256;8;sequential;0.573787;0.391764;0.0126247;0.270728;0.0779265;0.0915231;106.265
22;itrs-hp;32;2;fast;0.186281;0.345374;0.0018877;0.0350945;0.0433892;0.0561253;12.1945
22;itrs-hp;32;4;fast;0.299075;1.00676;0.00191409;0.0667426;0.154711;0.184973;19.8219
22;itrs-hp;64;4;fast;0.28803;0.345374;0.00367628;0.159027;0.232389;0.262269;51.4234
22;itrs-hp;64;4;sequential;0.349289;0.391764;0.00367628;0.0500925;0.0279968;0.0384031;20.1892
22;itrs-hp;64;8;fast;0.429569;0.977312;0.00379957;0.458442;0.882066;0.912114;124.527
22;itrs-hp;64;8;sequential;0.348486;0.391764;0.00379957;0.0500925;0.0281151;0.0397118;20.521
22;itrs-hp;8192;4;sequential;1.9781;1.05615;0.378855;6.62696;0.546563;0.561333;2591.7
22;itrs-hp;8192;8;sequential;1.97794;1.05615;0.378299;6.62696;0.550472;0.573973;2593.99
22;itrs-lop;1024;4;sequential;1.83939;1.55735;0.0537753;0.947979;0.115444;0.117072;546.41
22;itrs-lop;1024;8;sequential;1.83932;1.55735;0.0536977;0.947979;0.116943;0.121192;547.197
22;itrs-lop;256;4;sequential;1.28549;1.55735;0.0159199;0.219179;0.0491;0.0489961;123.85
22;itrs-lop;256;8;sequential;1.26477;1.55735;0.0134214;0.219179;0.0500511;0.0514108;122.449
22;itrs-lop;32;2;fast;0.446625;0.619259;0.00222254;0.0346875;0.0290399;0.0355135;16.9829
22;itrs-lop;32;4;fast;0.567028;1.34135;0.00226864;0.0668067;0.104588;0.110568;27.155
22;itrs-lop;64;4;fast;0.604504;1.41057;0.00553167;0.0866547;0.10738;0.120275;40.7903
22;itrs-lop;64;4;sequential;0.923043;0.76592;0.00551423;0.049889;0.0189745;0.0235082;29.4851
22;itrs-lop;64;8;fast;0.787259;1.34135;0.00598002;0.452051;0.595324;0.61092;180.067
22;itrs-lop;64;8;sequential;0.92199;0.76592;0.00593603;0.049889;0.0190435;0.0237595;31.2884
22;itrs-lop;8192;4;sequential;3.48296;1.55735;0.430012;6.61287;0.371883;0.37548;3679.92
22;itrs-lop;8192;8;sequential;3.4827;1.55735;0.429336;6.61287;0.373861;0.379463;3686.34
22;itrs-lstp;1024;4;sequential;2.82766;2.05871;0.0622651;0.949767;0.222786;0.230178;0.352017
22;itrs-lstp;1024;8;sequential;2.82855;2.05871;0.0654902;0.949767;0.222193;0.230742;0.360825
